App,Rating,Reviews,Size,Installs,Price,Content Rating,Subscription_Type,Year,Month,Day,Application_Type,Android_version,Primary_Application_Type
Photo Editor & Candy Camera & Grid & ScrapBook,4.1,159,19000.0,10000,0.0,Everyone,0,2018,1,7,Art & Design,4.0.3 and up,Art & Design
Coloring book moana,3.9,967,14000.0,500000,0.0,Everyone,0,2018,1,15,Art & Design;Pretend Play,4.0.3 and up,Art & Design
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",4.7,87510,8.7,5000000,0.0,Everyone,0,2018,8,1,Art & Design,4.0.3 and up,Art & Design
Sketch - Draw & Paint,4.5,215644,25000.0,50000000,0.0,Teen,0,2018,6,8,Art & Design,4.2 and up,Art & Design
Pixel Draw - Number Art Coloring Book,4.3,967,2.8,100000,0.0,Everyone,0,2018,6,20,Art & Design;Creativity,4.4 and up,Art & Design
Paper flowers instructions,4.4,167,5.6,50000,0.0,Everyone,0,2017,3,26,Art & Design,2.3 and up,Art & Design
Smoke Effect Photo Maker - Smoke Editor,3.8,178,19000.0,50000,0.0,Everyone,0,2018,4,26,Art & Design,4.0.3 and up,Art & Design
Infinite Painter,4.1,36815,29000.0,1000000,0.0,Everyone,0,2018,6,14,Art & Design,4.2 and up,Art & Design
Garden Coloring Book,4.4,13791,33000.0,1000000,0.0,Everyone,0,2017,9,20,Art & Design,3.0 and up,Art & Design
Kids Paint Free - Drawing Fun,4.7,121,3.1,10000,0.0,Everyone,0,2018,7,3,Art & Design;Creativity,4.0.3 and up,Art & Design
Text on Photo - Fonteee,4.4,13880,28000.0,1000000,0.0,Everyone,0,2017,10,27,Art & Design,4.1 and up,Art & Design
Name Art Photo Editor - Focus n Filters,4.4,8788,12000.0,1000000,0.0,Everyone,0,2018,7,31,Art & Design,4.0 and up,Art & Design
Tattoo Name On My Photo Editor,4.2,44829,20000.0,10000000,0.0,Teen,0,2018,4,2,Art & Design,4.1 and up,Art & Design
Mandala Coloring Book,4.6,4326,21000.0,100000,0.0,Everyone,0,2018,6,26,Art & Design,4.4 and up,Art & Design
3D Color Pixel by Number - Sandbox Art Coloring,4.4,1518,37000.0,100000,0.0,Everyone,0,2018,8,3,Art & Design,2.3 and up,Art & Design
Learn To Draw Kawaii Characters,3.2,55,2.7,5000,0.0,Everyone,0,2018,6,6,Art & Design,4.2 and up,Art & Design
Photo Designer - Write your name with shapes,4.7,3632,5.5,500000,0.0,Everyone,0,2018,7,31,Art & Design,4.1 and up,Art & Design
350 Diy Room Decor Ideas,4.5,27,17000.0,10000,0.0,Everyone,0,2017,11,7,Art & Design,2.3 and up,Art & Design
FlipaClip - Cartoon animation,4.3,194216,39000.0,5000000,0.0,Everyone,0,2018,8,3,Art & Design,4.0.3 and up,Art & Design
ibis Paint X,4.6,224399,31000.0,10000000,0.0,Everyone,0,2018,7,30,Art & Design,4.1 and up,Art & Design
Logo Maker - Small Business,4.0,450,14000.0,100000,0.0,Everyone,0,2018,4,20,Art & Design,4.1 and up,Art & Design
Boys Photo Editor - Six Pack & Men's Suit,4.1,654,12000.0,100000,0.0,Everyone,0,2018,3,20,Art & Design,4.0.3 and up,Art & Design
Superheroes Wallpapers | 4K Backgrounds,4.7,7699,4.2,500000,0.0,Everyone 10+,0,2018,7,12,Art & Design,4.0.3 and up,Art & Design
Mcqueen Coloring pages,4.3,61,7.0,100000,0.0,Everyone,0,2018,3,7,Art & Design;Action & Adventure,4.1 and up,Art & Design
HD Mickey Minnie Wallpapers,4.7,118,23000.0,50000,0.0,Everyone,0,2018,7,7,Art & Design,4.1 and up,Art & Design
Harley Quinn wallpapers HD,4.8,192,6.0,10000,0.0,Everyone,0,2018,4,25,Art & Design,3.0 and up,Art & Design
Colorfit - Drawing & Coloring,4.7,20260,25000.0,500000,0.0,Everyone,0,2017,10,11,Art & Design;Creativity,4.0.3 and up,Art & Design
Animated Photo Editor,4.1,203,6.1,100000,0.0,Everyone,0,2018,3,21,Art & Design,4.0.3 and up,Art & Design
Pencil Sketch Drawing,3.9,136,4.6,10000,0.0,Everyone,0,2018,7,12,Art & Design,2.3 and up,Art & Design
Easy Realistic Drawing Tutorial,4.1,223,4.2,100000,0.0,Everyone,0,2017,8,22,Art & Design,2.3 and up,Art & Design
Pink Silver Bow Keyboard Theme,4.2,1120,9.2,100000,0.0,Everyone,0,2018,7,12,Art & Design,4.0.3 and up,Art & Design
Art Drawing Ideas,4.1,227,5.2,50000,0.0,Everyone,0,2018,5,31,Art & Design,2.3 and up,Art & Design
Anime Manga Coloring Book,4.5,5035,11000.0,100000,0.0,Everyone,0,2018,7,19,Art & Design,4.0 and up,Art & Design
Easy Origami Ideas,4.2,1015,11000.0,100000,0.0,Everyone,0,2018,1,6,Art & Design,4.1 and up,Art & Design
I Creative Idea,4.7,353,4.2,10000,0.0,Teen,0,2018,4,27,Art & Design,4.1 and up,Art & Design
How to draw Ladybug and Cat Noir,3.8,564,9.2,100000,0.0,Everyone,0,2018,7,11,Art & Design,4.1 and up,Art & Design
UNICORN - Color By Number & Pixel Art Coloring,4.7,8145,24000.0,500000,0.0,Everyone,0,2018,8,2,Art & Design;Creativity,4.4 and up,Art & Design
Floor Plan Creator,4.1,36639,13000.0,5000000,0.0,Everyone,0,2018,7,14,Art & Design,2.3.3 and up,Art & Design
PIP Camera - PIP Collage Maker,4.7,158,11000.0,10000,0.0,Everyone,0,2017,11,29,Art & Design,4.0.3 and up,Art & Design
How To Color Disney Princess - Coloring Pages,4.0,591,9.4,500000,0.0,Everyone,0,2018,3,31,Art & Design,4.0 and up,Art & Design
Drawing Clothes Fashion Ideas,4.2,117,15000.0,10000,0.0,Everyone,0,2018,7,20,Art & Design,4.0.3 and up,Art & Design
Sad Poetry Photo Frames 2018,4.5,176,10000.0,100000,0.0,Everyone,0,2018,4,2,Art & Design,4.0.3 and up,Art & Design
Paint Splash!,3.8,2206,1.2,100000,0.0,Everyone,0,2018,4,15,Art & Design;Creativity,4.1 and up,Art & Design
Popsicle Sticks and Similar DIY Craft Ideas,4.2,26,12000.0,10000,0.0,Everyone,0,2018,1,3,Art & Design,4.1 and up,Art & Design
"Canva: Poster, banner, card maker & graphic design",4.7,174531,24000.0,10000000,0.0,Everyone,0,2018,7,31,Art & Design,4.1 and up,Art & Design
Install images with music to make video without Net - 2018,4.6,1070,26000.0,100000,0.0,Everyone,0,2017,11,14,Art & Design,4.1 and up,Art & Design
Little Teddy Bear Colouring Book Game,4.2,85,8.0,100000,0.0,Everyone,0,2017,12,17,Art & Design,4.1 and up,Art & Design
How To Draw Food,4.3,845,7.9,100000,0.0,Everyone,0,2018,5,28,Art & Design,2.3 and up,Art & Design
Monster Truck Stunt 3D 2019,4.2,367,25000.0,100000,0.0,Everyone,0,2018,5,10,Auto & Vehicles,4.0.3 and up,Auto & Vehicles
Real Tractor Farming,4.0,1598,56000.0,1000000,0.0,Everyone,0,2018,7,26,Auto & Vehicles,4.1 and up,Auto & Vehicles
Ultimate F1 Racing Championship,3.8,284,57000.0,100000,0.0,Everyone,0,2018,7,26,Auto & Vehicles,4.1 and up,Auto & Vehicles
American Muscle Car Race,3.9,129,35000.0,100000,0.0,Everyone,0,2018,7,26,Auto & Vehicles,4.1 and up,Auto & Vehicles
Offroad Oil Tanker Driver Transport Truck 2019,4.3,542,33000.0,100000,0.0,Everyone,0,2018,7,31,Auto & Vehicles,4.1 and up,Auto & Vehicles
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,4.9,10479,33000.0,100000,0.0,Everyone,0,2018,7,18,Auto & Vehicles,4.0 and up,Auto & Vehicles
Gas Prices (Germany only),4.4,805,5.6,50000,0.0,Everyone,0,2018,7,29,Auto & Vehicles,4.4 and up,Auto & Vehicles
Extreme Rally Championship,4.2,129,54000.0,100000,0.0,Everyone,0,2018,7,26,Auto & Vehicles,4.1 and up,Auto & Vehicles
Restart Navigator,4.0,1403,201.0,100000,0.0,Everyone,0,2014,8,26,Auto & Vehicles,2.2 and up,Auto & Vehicles
"REG - Check the regnumber, find information about Swedish vehicles",3.9,3971,3.6,100000,0.0,Everyone,0,2018,7,30,Auto & Vehicles,4.4 and up,Auto & Vehicles
CityBus Lviv,4.6,534,5.7,10000,0.0,Everyone,0,2018,7,8,Auto & Vehicles,4.0.3 and up,Auto & Vehicles
CDL Practice Test 2018 Edition,4.9,7774,17000.0,100000,0.0,Everyone,0,2018,7,3,Auto & Vehicles,4.2 and up,Auto & Vehicles
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",4.3,38846,8.6,1000000,0.0,Everyone,0,2018,7,28,Auto & Vehicles,4.1 and up,Auto & Vehicles
Free VIN Report for Used Cars,4.6,2431,2.4,100000,0.0,Everyone,0,2018,6,12,Auto & Vehicles,4.0 and up,Auto & Vehicles
DMV Permit Practice Test 2018 Edition,4.9,6090,27000.0,100000,0.0,Everyone,0,2018,7,3,Auto & Vehicles,4.2 and up,Auto & Vehicles
Check Vehicle Tax,3.9,295,2.7,10000,0.0,Everyone,0,2018,7,30,Auto & Vehicles,4.4 and up,Auto & Vehicles
